gender,edu,child_care
1,1,-99
1,5,-99
2,2,-99
1,2,-99
2,3,-99
2,NA,-99
2,2,-99
2,2,-99
2,2,-99
2,NA,-99
2,NA,-99
2,2,-99
1,2,-99
2,1,-99
1,5,-99
2,5,-99
1,2,-99
2,1,-99
1,2,-99
2,2,-99
1,2,-99
2,3,-99
1,2,-99
2,2,-99
1,4,-99
2,3,-99
2,1,-99
1,4,-99
2,2,-99
2,4,-99
1,2,-99
2,NA,-99
1,2,-99
1,3,-99
2,4,-99
2,4,-99
2,NA,-99
1,3,-99
1,2,-99
2,1,-99
2,2,-99
2,NA,-99
1,5,-99
2,5,-99
1,3,-99
2,NA,-99
1,3,-99
2,2,-99
1,4,-99
2,3,-99
2,2,-99
2,NA,-99
1,2,-99
2,NA,-99
2,1,-99
2,NA,-99
1,1,-99
2,1,-99
2,NA,-99
2,NA,-99
1,NA,-99
2,NA,-99
2,NA,-99
2,2,-99
2,2,-99
2,1,-99
2,1,-99
1,2,-99
2,2,-99
2,2,-99
2,1,-99
2,1,-99
1,5,-99
2,1,-99
2,1,-99
1,2,-99
2,1,-99
1,2,-99
2,2,-99
1,1,-99
2,2,-99
2,2,-99
2,NA,-99
1,2,-99
1,2,-99
2,NA,-99
2,2,-99
2,4,-99
2,NA,-99
2,NA,-99
1,4,-99
2,5,-99
2,4,-99
2,NA,-99
1,2,-99
2,2,-99
1,2,-99
1,3,-99
2,NA,-99
2,NA,-99
1,1,-99
2,1,-99
1,2,-99
2,1,-99
2,3,-99
2,NA,-99
1,1,-99
2,NA,-99
2,2,-99
1,5,-99
2,NA,-99
1,2,-99
1,1,-99
2,3,-99
2,2,-99
1,4,-99
2,NA,-99
2,3,-99
2,2,-99
1,1,-99
2,1,-99
1,1,-99
2,2,-99
1,1,-99
2,1,-99
2,NA,-99
2,3,-99
2,2,-99
2,1,-99
1,1,-99
2,1,-99
1,2,-99
2,2,-99
2,1,-99
1,2,-99
2,3,-99
2,2,-99
1,NA,-99
2,NA,-99
2,2,-99
1,2,-99
2,2,-99
2,2,-99
2,2,-99
2,2,-99
2,1,-99
2,1,-99
1,NA,-99
2,NA,-99
2,1,-99
1,NA,-99
2,NA,-99
1,4,-99
1,3,-99
2,2,-99
2,3,-99
1,1,-99
2,NA,-99
1,3,-99
2,3,-99
2,2,-99
2,4,-99
1,1,-99
2,2,-99
1,3,-99
2,4,-99
1,1,-99
2,2,-99
2,2,-99
2,9,-99
1,2,-99
2,NA,-99
1,2,-99
2,2,-99
1,3,-99
1,NA,-99
2,NA,-99
1,1,-99
2,1,-99
1,1,-99
2,NA,-99
1,3,-99
2,2,-99
1,2,-99
2,1,-99
1,3,-99
2,1,-99
1,2,-99
2,1,-99
2,2,-99
2,4,-99
1,3,-99
1,NA,-99
2,3,-99
1,1,-99
2,5,-99
2,1,-99
2,NA,-99
2,2,-99
1,2,-99
2,2,-99
1,2,-99
2,2,-99
2,1,-99
2,1,-99
2,NA,-99
1,2,-99
2,NA,-99
2,1,-99
2,2,-99
2,2,-99
2,NA,-99
1,3,-99
1,2,-99
2,2,-99
2,NA,-99
1,NA,-99
2,1,1
1,2,1
1,1,1
2,1,1
2,NA,1
1,2,1
1,4,1
1,3,1
1,2,1
2,NA,1
2,NA,1
2,NA,1
1,3,1
2,NA,1
1,2,1
1,1,1
2,9,1
1,1,1
2,5,1
1,NA,1
2,4,1
2,5,1
2,NA,1
1,5,1
1,3,1
1,1,1
2,2,1
1,1,1
2,NA,1
1,NA,1
1,2,1
2,2,1
2,2,1
1,NA,1
1,5,1
1,2,1
2,2,1
1,2,1
1,1,1
2,NA,1
2,NA,1
1,NA,1
1,NA,1
2,NA,1
1,2,1
2,NA,1
1,1,1
1,NA,1
1,1,1
1,1,2
2,2,2
2,2,2
1,1,2
1,3,2
1,2,2
1,3,2
1,2,2
2,NA,2
1,2,2
1,2,2
1,2,2
1,4,2
2,2,2
1,3,2
2,2,2
2,NA,2
2,1,2
1,2,2
1,5,2
1,2,2
1,NA,2
2,2,2
2,1,2
1,2,2
2,2,2
2,1,2
2,NA,2
2,3,2
1,4,2
2,NA,2
1,2,2
2,3,2
1,1,2
2,1,2
1,5,2
2,5,2
2,NA,2
1,2,2
2,1,2
2,4,2
2,2,2
2,1,2
1,1,2
1,1,2
2,2,2
2,4,2
2,4,2
1,NA,2
2,NA,2
1,1,2
2,NA,2
2,NA,2
2,2,3
2,2,3
1,1,3
1,5,3
1,9,3
2,NA,3
2,2,3
1,5,3
2,3,3
1,2,3
1,3,3
1,NA,3
1,NA,3
2,1,3
2,2,3
2,4,3
1,2,3
2,1,3
1,3,3
2,4,3
1,1,3
2,NA,3
1,5,3
2,NA,3
1,1,3
2,2,3
1,2,3
1,NA,3
2,1,3
2,2,3
2,3,3
2,1,3
1,NA,3
1,1,3
2,NA,3
1,1,3
1,3,3
1,1,3
2,NA,3
2,2,4
1,4,4
1,2,4
2,2,4
2,2,4
1,3,4
1,NA,4
1,5,4
2,1,4
1,4,4
1,2,4
2,2,4
2,2,4
2,4,4
2,4,4
2,2,4
1,3,4
2,NA,4
1,2,4
1,2,4
2,1,4
2,4,4
2,3,4
1,1,4
2,2,4
2,2,4
1,2,4
1,NA,4
1,1,5
2,1,5
1,5,5
2,5,5
2,2,5
2,3,5
1,4,5
1,3,5
1,3,5
1,1,5
2,2,5
2,2,5
2,2,5
1,2,5
