Census_year	State_FIPS_code	Metropolitan_area_Detailed	Age	Sex	Race_General	Marital_status	Total_personal_income
2000	California	Sacramento_ CA	56	Male	Japanese	Married_ spouse present	40240
2000	California	Sacramento_ CA	53	Female	White	Married_ spouse present	13600
2000	California	Sacramento_ CA	17	Female	Two major races	Never married/single (N/A)	0
2000	California	Sacramento_ CA	37	Female	White	Never married/single (N/A)	49000
2000	California	Sacramento_ CA	40	Male	White	Never married/single (N/A)	38300
2000	California	Sacramento_ CA	23	Male	Other race_ nec	Never married/single (N/A)	14000
2000	California	Sacramento_ CA	40	Female	Black/Negro	Divorced	9000
2000	California	Sacramento_ CA	11	Male	Black/Negro	Never married/single (N/A)	
2000	California	Sacramento_ CA	46	Male	Black/Negro	Married_ spouse present	40000
2000	California	Sacramento_ CA	34	Female	Black/Negro	Married_ spouse present	18000
2000	California	Sacramento_ CA	16	Male	Black/Negro	Never married/single (N/A)	0
2000	California	Sacramento_ CA	11	Female	Black/Negro	Never married/single (N/A)	
2000	California	Sacramento_ CA	7	Female	Black/Negro	Never married/single (N/A)	
2000	California	Sacramento_ CA	23	Male	White	Never married/single (N/A)	65000
2000	California	Sacramento_ CA	30	Female	White	Divorced	30000
2000	California	Sacramento_ CA	35	Male	White	Married_ spouse present	61100
2000	California	Sacramento_ CA	30	Male	White	Married_ spouse present	62000
2000	California	Sacramento_ CA	28	Female	White	Married_ spouse present	5500
2000	California	Sacramento_ CA	3	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	0	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	42	Male	White	Married_ spouse present	36000
2000	California	Sacramento_ CA	17	Female	White	Never married/single (N/A)	0
2000	California	Sacramento_ CA	6	Male	Other Asian or Pacific Islander	Never married/single (N/A)	
2000	California	Sacramento_ CA	1	Male	Other Asian or Pacific Islander	Never married/single (N/A)	
2000	California	Sacramento_ CA	40	Male	White	Married_ spouse present	50000
2000	California	Sacramento_ CA	37	Female	White	Married_ spouse present	70000
2000	California	Sacramento_ CA	9	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	7	Male	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	39	Male	White	Divorced	34400
2000	California	Sacramento_ CA	33	Male	Other Asian or Pacific Islander	Married_ spouse present	18000
2000	California	Sacramento_ CA	37	Female	Other Asian or Pacific Islander	Married_ spouse present	0
2000	California	Sacramento_ CA	62	Male	Other Asian or Pacific Islander	Married_ spouse present	3800
2000	California	Sacramento_ CA	27	Male	Other race_ nec	Married_ spouse absent	15000
2000	California	Sacramento_ CA	11	Female	Other Asian or Pacific Islander	Never married/single (N/A)	
2000	California	Sacramento_ CA	21	Female	Other race_ nec	Married_ spouse absent	0
2000	California	Sacramento_ CA	5	Male	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	4	Female	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	1	Male	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	1	Male	Other race_ nec	Never married/single (N/A)	
2000	California	Sacramento_ CA	80	Female	White	Widowed	55100
2000	California	Sacramento_ CA	28	Female	Other Asian or Pacific Islander	Married_ spouse present	27000
2000	California	Sacramento_ CA	0	Male	Other Asian or Pacific Islander	Never married/single (N/A)	
2000	California	Sacramento_ CA	85	Female	White	Widowed	13900
2000	California	Sacramento_ CA	24	Female	White	Never married/single (N/A)	20000
2000	California	Sacramento_ CA	45	Female	Black/Negro	Divorced	150000
2000	California	Sacramento_ CA	52	Female	White	Divorced	8300
2000	California	Sacramento_ CA	23	Male	Black/Negro	Never married/single (N/A)	0
2000	California	Sacramento_ CA	16	Male	Black/Negro	Never married/single (N/A)	0
2000	California	Sacramento_ CA	43	Female	Other Asian or Pacific Islander	Married_ spouse present	0
2000	California	Sacramento_ CA	62	Male	White	Married_ spouse present	42000
2000	California	Sacramento_ CA	60	Female	White	Divorced	1400
2000	California	Sacramento_ CA	52	Male	White	Married_ spouse present	70000
2000	California	Sacramento_ CA	51	Female	White	Married_ spouse present	35000
2000	California	Sacramento_ CA	49	Female	White	Divorced	66000
2000	California	Sacramento_ CA	29	Male	White	Married_ spouse present	13500
2000	California	Sacramento_ CA	4	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	2	Female	White	Never married/single (N/A)	
2000	California	Sacramento_ CA	49	Female	Other Asian or Pacific Islander	Married_ spouse present	5100
2000	California	Sacramento_ CA	51	Male	Other Asian or Pacific Islander	Married_ spouse present	8100
2000	California	Sacramento_ CA	19	Female	Other Asian or Pacific Islander	Never married/single (N/A)	8000
2000	California	Sacramento_ CA	25	Male	Other Asian or Pacific Islander	Married_ spouse present	32000
2000	California	Sacramento_ CA	55	Female	White	Married_ spouse present	51800
2000	California	Sacramento_ CA	39	Female	White	Never married/single (N/A)	25000
2000	California	Sacramento_ CA	39	Male	White	Married_ spouse absent	95000
2000	California	Sacramento_ CA	25	Female	American Indian or Alaska Native	Never married/single (N/A)	32000
