deptAbbr	course	ibsn	uclaNew	amazNew	more	diff
Am Ind	 C170	978-0803272620	27.67	27.95	Y	-0.28
Anthro	9	978-0030119194	40.59	31.14	Y	9.45
Anthro	135T	978-0300080643	31.68	32	Y	-0.32
Anthro	191HB	978-0226206813	16	11.52	Y	4.48
Art His	M102K	978-0892365999	18.95	14.21	Y	4.74
Art His	118E	978-0394723693	14.95	10.17	Y	4.78
Asia Am	187B	978-0822338437	24.7	20.06	Y	4.64
Asia Am	191E	978-0816646135	19.5	16.66	N	2.84
Ch Engr	C125	978-0195123401	123.84	106.25	N	17.59
Chicano	M145B	978-0896086265	17	13.26	Y	3.74
Chin	174	978-0791420621	31.63	29.95	Y	1.68
Com Sci	180	978-0321295354	116	88.09	N	27.91
Comm Lit	290	978-0393329254	27.67	18.45	Y	9.22
Comm St	10	978-0195181234	24.7	16.47	Y	8.23
Comptng	20A	978-0470509487	126.67	97.38	N	29.29
E&S Sci	7	978-0521711128	53.9	47.51	N	6.39
E&S Sci	101	978-0393927634	89.73	74.93	N	14.8
Econ	101	978-0324421620	171	132.77	N	38.23
El Engr	2	978-0131497269	152	121.5	N	30.5
El Engr	176	978-0471287704	124.8	108	N	16.8
Engl	M104C	978-0582276024	16	11.67	Y	4.33
Engl	151	978-0199561339	25.95	18.94	Y	7.01
Engl	180	978-0374515362	18	12.24	Y	5.76
Engl	M260A	978-0804747295	21.73	21.95	Y	-0.22
Engr	183EW	978-0132306416	40.59	31.14	N	9.45
ESL	38A	978-1577665304	28.95	28.95	Y	0
Frnch	120	978-2020525718	19.95	16.15	Y	3.8
Geog	232	978-1405102667	49.45	37.75	Y	11.7
German	57	978-0205668946	41.09	31.78	N	9.31
Greek	130	978-1598561692	50.95	32.97	Y	17.98
Hist	97F	978-1560000259	44.5	30.87	Y	13.63
Hist	201B	978-0198149248	82.45	85	Y	-2.55
Hist	201L	978-0742567498	34.6	34.95	Y	-0.35
Hlt Ser	M422	978-0761918479	88.42	97.95	Y	-9.53
Hlt Ser	437	978-0763745554	84	81.18	N	2.82
Hnrs	37	978-0140447187	11.25	9.5	Y	1.75
Hnrs	M106	978-1400033416	15	10.2	Y	4.8
Lifesci	2	978-0716776710	180.03	134.69	Y	45.34
Mat Sci	104	978-0470419977	174	143.75	N	30.25
Math	151A	978-0534407612	188.58	176	N	12.58
Mgmt	1A	978-0077251031	146.75	150.63	Y	-3.88
Mgmt	124	978-0078136634	183.75	145.4	N	38.35
Mgmt	127B	978-0324828641	214.5	173.56	N	40.94
Mgmt	228	978-0073379661	197	131	Y	66
Mgmt	231D	978-0131407374	194	157.68	Y	36.32
Mgmt	263A	978-0073404769	176.25	137.17	Y	39.08
Mus His	191G	978-0195162578	24.7	24.95	Y	-0.25
Physics	6A	978-0534491437	188	159.28	Y	28.72
Pol Sci	10	978-0393090406	29.7	23.07	Y	6.63
Pol Sci	120B	978-1588264169	26.24	21.04	Y	5.2
Pol Sci	M132B	978-0205753383	55.13	42.68	Y	12.45
Pol Sci	171C	978-0393976267	43.56	39.37	Y	4.19
Pol Sci	200C	978-0471663799	129.6	85.2	Y	44.4
Psych	10	978-1429227049	123.84	93.13	N	30.71
Psych	134A	978-0073378541	85.12	67.4	Y	17.72
Psych	263	978-0495099697	152.48	132.79	N	19.69
Russian	90B	978-0674304437	29.7	24.31	Y	5.39
Soc Gen	102W	978-0520265882	24.7	24.95	N	-0.25
Soc Wlf	M104D	978-1412969666	89.71	85.45	N	4.26
Sociol	180A	978-0812968378	10.5	10.08	N	0.42
Span	105	978-0618527748	92.88	65.73	N	27.15
Span	115	978-0471013914	100.88	84.26	N	16.62
Stat	98T	978-0393310726	11.95	8.6	Y	3.35
Stat	C180	978-1584883883	72.47	58.42	N	14.05
Stat	200C	978-0412043710	92.1	80.37	N	11.73
Stat	C216	978-1441931566	78.35	64.09	N	14.26
Urbn Pl	M275	978-1592134328	42	37.04	Y	4.96
Wld Art	C139	978-0520224759	18.75	20.21	Y	-1.46
Wld Art	C180	978-1412923484	48.46	39.34	N	9.12
Wld Art	C409A	978-0195390827	39.55	26.37	N	13.18
Wld Art	495	978-0820474151	29.65	24.19	Y	5.46
Wom Std	M144	978-1570755637	23.76	18.72	Y	5.04
Wom Std	285	978-0822341147	27.7	18.22	Y	9.48
