station	distance	hour	minute	travel_time	dist	z_time	z_dist	travel_time_hrs	dist_km
Tacoma	40	10	57	57	40	-0.634081	-0.679118	0.0158333 h	103.6
Olympia	72	11	43	46	32	-0.731123	-0.759681	0.0127778 h	82.8796
Centralia	94	12	6	23	43	-0.934029	-0.648907	0.00638889 h	111.369
Kelso	137	12	52	46	39	-0.731123	-0.689189	0.0127778 h	101.01
Vancouver	176	13	35	43	10	-0.757589	-0.981228	0.0119444 h	25.8999
Portland	186	13	55	20	53	-0.960495	-0.548204	0.00555556 h	137.269
Salem	239	15	45	110	28	-0.166515	-0.799962	0.0305556 h	72.5197
Albany	267	16	17	32	43	-0.854631	-0.648907	0.00888889 h	111.369
Eugene	310	17	7	49	195	-0.704657	0.881784	0.0136111 h	505.048
Sacramento	837	6	30	177	84	0.424558	-0.236024	0.0491667 h	217.559
Emeryville	921	8	30	120	113	-0.0782952	0.0560163	0.0333333 h	292.669
Salinas	1034	12	1	211	352	0.724506	2.46283	0.0586111 h	911.676
SantaBarbara	1286	18	17	376	252	2.18014	1.45579	0.104444 h	652.677
LosAngeles	1389	21	5	168	103	0.345161	-0.0446871	0.0466667 h	266.769
Chico	742	3	33	326	95	1.73904	-0.12525	0.0905556 h	246.049
KlamathFalls	505	22	7	258	237	1.13914	1.30474	0.0716667 h	613.827
