Age_Husband	Ht_Husband	Age_Wife	Ht_Wife	Age_Husb_at_Marriage	Years_Married	Age_Wife_At_Marriage	Duration
49	1809	43	1590	25	24	19	>20
25	1841	28	1560	19	6	22	<= 20
40	1659	30	1620	38	2	28	<= 20
52	1779	57	1540	26	26	31	>20
58	1616	52	1420	30	28	24	>20
32	1695	27	1660	23	9	18	<= 20
43	1730	52	1610	33	10	42	<= 20
42	1753		1635	30	12		<= 20
47	1740	43	1580	26	21	22	>20
31	1685	23	1610	26	5	18	<= 20
26	1735	25	1590	23	3	22	<= 20
40	1713	39	1610	23	17	22	<= 20
35	1736	32	1700	31	4	28	<= 20
45	1715		1522	41	4		<= 20
35	1799	35	1680	19	16	19	<= 20
35	1785	33	1680	24	11	22	<= 20
47	1758	43	1630	24	23	20	>20
38	1729	35	1570	27	11	24	<= 20
33	1720	32	1720	28	5	27	<= 20
32	1810	30	1740	22	10	20	<= 20
38	1725	40	1600	31	7	33	<= 20
45	1764		1689	24	21		>20
29	1683	29	1600	25	4	25	<= 20
59	1585	55	1550	23	36	19	>20
26	1684	25	1540	18	8	17	<= 20
50	1674	45	1640	25	25	20	>20
49	1724	44	1640	27	22	22	>20
42	1630	40	1630	28	14	26	<= 20
33	1855	31	1560	22	11	20	<= 20
31	1796		1652	25	6		<= 20
27	1700	25	1580	21	6	19	<= 20
57	1765	51	1570	32	25	26	>20
34	1700	31	1590	28	6	25	<= 20
28	1721	25	1650	23	5	20	<= 20
46	1823		1591				>20
37	1829	35	1670	22	15	20	<= 20
56	1710	55	1600	44	12	43	<= 20
27	1745	23	1610	25	2	21	<= 20
36	1698	35	1610	22	14	21	<= 20
31	1853	28	1670	20	11	17	<= 20
57	1610	52	1510	25	32	20	>20
55	1680	53	1520	21	34	19	>20
47	1809	43	1620	25	22	21	>20
64	1580	61	1530	21	43	18	>20
60	1600		1451	26	34		>20
31	1585	23	1570	28	3	20	<= 20
35	1705	35	1580	25	10	25	<= 20
36	1675	35	1590	22	14	21	<= 20
40	1735	39	1670	23	17	22	<= 20
30	1686	24	1630	27	3	21	<= 20
32	1768	29	1510	21	11	18	<= 20
27	1721		1560	26	1		<= 20
20	1754	21	1660	19	1	20	<= 20
45	1739	39	1610	25	20	19	<= 20
59	1699	52	1440	27	32	20	>20
