item,calories,fat,carb,fiber,protein,type
8-Grain Roll,350,8,67,5,10,bakery
Apple Bran Muffin,350,9,64,7,6,bakery
Apple Fritter,420,20,59,0,5,bakery
Banana Nut Loaf,490,19,75,4,7,bakery
Birthday Cake Mini Doughnut,130,6,17,0,0,bakery
Blueberry Oat Bar,370,14,47,5,6,bakery
Blueberry Scone,460,22,61,2,7,bakery
Bountiful Blueberry Muffin,370,14,55,0,6,bakery
Butter Croissant ,310,18,32,0,5,bakery
Cheese Danish,420,25,39,0,7,bakery
Chocolate Chunk Cookie,380,17,51,2,4,bakery
Chocolate Cinnamon Bread,320,12,53,3,6,bakery
Chocolate Croissant,300,17,34,2,5,bakery
Chocolate Old-Fashioned Doughnut,420,21,57,2,5,bakery
Chonga Bagel,310,5,52,3,12,bakery
Cinnamon Chip Scone,480,18,70,3,7,bakery
Cranberry Orange Scone,490,18,73,2,8,bakery
Double Chocolate Brownie,410,24,46,3,6,bakery
Double Fudge Mini Doughnut,130,7,16,0,0,bakery
Everything with Cheese Bagel,280,2,56,2,10,bakery
Ginger Molasses Cookie,360,12,58,0,3,bakery
Iced Lemon Pound Cake,490,23,67,0,5,bakery
Mallorca Sweet Bread,420,25,42,0,7,bakery
Maple Oat Pecan Scone ,440,18,59,3,8,bakery
Marble Pound Cake,350,13,54,0,6,bakery
Marshmallow Dream Bar,210,4,43,0,0,bakery
Morning Bun,350,16,45,2,6,bakery
Multigrain Bagel,300,3,60,6,15,bakery
Old-Fashioned Glazed Doughnut,420,21,57,0,4,bakery
Outrageous Oatmeal Cookie,370,14,56,3,5,bakery
Petite Vanilla Bean Scone,140,5,21,0,0,bakery
Plain Bagel,280,1,59,2,9,bakery
Pumpkin Bread,390,14,61,2,6,bakery
Pumpkin Scone ,480,17,78,2,6,bakery
Raspberry Scone,480,25,59,3,8,bakery
Raspberry Swirl Pound Cake,430,16,69,0,4,bakery
Reduced-Fat Banana Chocolate Chip Coffee Cake,400,8,80,4,5,bakery
Reduced-Fat Cinnamon Swirl Coffee Cake,340,9,62,2,4,bakery
Reduced-Fat Very Berry Coffee Cake ,350,10,59,4,7,bakery
Starbucks Classic Coffee Cake,440,19,63,0,6,bakery
Zucchini Walnut Muffin ,490,28,52,2,7,bakery
Cheese & Fruit,480,28,39,6,18,bistro box
Chicken & Hummus,270,8,29,6,16,bistro box
Chicken Lettuce Wraps,360,19,32,4,17,bistro box
Chipotle Chicken Wraps,380,15,35,6,26,bistro box
Protein,380,19,37,5,13,bistro box
Salumi & Cheese,420,26,22,3,25,bistro box
Sesame Noodles,350,11,50,6,15,bistro box
Tuna Salad,380,21,25,5,23,bistro box
Apple Pie,180,7,27,0,2,petite
Birthday Cake Pop,170,9,22,0,0,petite
Brown Sugar Walnut Tart,190,12,24,0,2,petite
Cherry Pie,170,7,24,0,2,petite
Chocolate Crème Whoopie Pie,190,11,23,0,0,petite
Chocolate Hazelnut Tart,180,10,23,0,2,petite
Raspberry Truffle Cake Pop,160,8,24,0,2,petite
Red Velvet Whoopie Pie,190,11,21,0,0,petite
Tiramisu Cake Pop,170,9,22,0,0,petite
Bacon & Gouda Artisan Breakfast Sandwich,350,18,30,0,17,hot breakfast
Chicken Sausage Breakfast Wrap,300,10,33,5,14,hot breakfast
Ham & Cheddar Artisan Breakfast Sandwich,350,16,31,0,20,hot breakfast
Sausage & Cheddar Classic Breakfast Sandwich,500,28,41,0,19,hot breakfast
Spinach & Feta Breakfast Wrap,290,10,33,6,19,hot breakfast
Starbucks® Perfect Oatmeal,140,2.5,25,4,5,hot breakfast
Turkey Bacon & White Cheddar Classic Breakfast Sandwich,320,7,43,3,18,hot breakfast
Veggie & Monterey Jack Artisan Breakfast Sandwich,350,18,30,0,17,hot breakfast
Deluxe Fruit Blend,80,0,20,2,0,salad
Chicken Santa Fe Panini,400,11,47,2,26,sandwich
Egg Salad Sandwich ,460,27,37,5,22,sandwich
Ham & Swiss Panini,360,9,43,2,28,sandwich
Roasted Tomato & Mozzarella Panini,390,18,44,3,15,sandwich
Roasted Vegetable Panini,350,12,48,4,13,sandwich
Tarragon Chicken Salad Sandwich,420,13,46,6,32,sandwich
Turkey & Swiss Sandwich,390,13,36,2,34,sandwich
Greek Yogurt Honey Parfait,300,12,44,0,8,parfait
Peach Raspberry Yogurt Parfait,300,4,57,3,10,parfait
Strawberry & Blueberry Yogurt Parfait,300,3.5,60,3,7,parfait
