State	UrbanIn	UrbanOut	RuralFarm	RuralNonfarm
Alabama	1839901	597814	59349	1543523
Alaska	221745	149118	1160	178020
Arizona	2656388	550687	6967	451186
Arkansas	591609	666589	63589	1028938
California	25465911	2105967	150535	2037608
Colorado	2377886	337863	45118	533527
Connecticut	2455622	145912	5250	680332
Delaware	459494	27844	6486	172344
District of Columbia	606900	0	0	0
Florida	10181184	789261	47436	1920045
Georgia	3259598	836480	80083	2302055
Hawaii	747028	238791	6277	116133
Idaho	278439	299937	44869	383504
Illinois	8479409	1189667	207016	1554510
Indiana	2690908	905109	188133	1760009
Iowa	942394	740466	256562	837333
Kansas	1018608	693963	108083	656920
Kentucky	1276809	633219	174204	1601064
Louisiana	2228058	643980	40103	1307832
Maine	266606	281605	11008	668709
Maryland	3581336	306645	32596	860891
Massachusetts	4729715	339146	9342	938222
Michigan	5811662	743184	120496	2619955
Minnesota	2370403	685325	207956	1111415
Mississippi	617704	593567	56225	1305720
Missouri	2782750	733132	180097	1421094
Montana	208743	211246	45718	333358
Nebraska	687898	356110	117658	416719
Nevada	910913	150399	4831	135690
New Hampshire	339739	225940	5576	537997
New Jersey	6630217	280424	17283	802264
New Mexico	649391	455364	15090	395224
New York	14116527	1047718	82256	2743954
North Carolina	2510999	824571	116801	3176266
North Dakota	202485	138005	60288	238022
Ohio	6655821	1383216	198914	2609164
Oklahoma	1354645	775438	82929	932573
Oregon	1419919	583080	68729	770593
Pennsylvania	7209935	981131	117119	3573458
Rhode Island	824524	38903	1124	138913
South Carolina	1425272	480468	48565	1532398
South Dakota	163965	183803	76170	272066
Tennessee	2216943	751800	111680	1796762
Texas	11374274	2262974	192392	3156870
Utah	1319831	179544	11685	211790
Vermont	86873	94031	11810	370044
Virginia	3829615	463992	80560	1813191
Washington	3213897	503227	60243	1089325
West Virginia	388726	259127	23753	1121871
Wisconsin	2464819	747258	195550	1484142
Wyoming	114004	180461	15919	143204
