Language,Subject,Question,Color Response
English,1,1,1
English,1,2,1
English,1,3,1
English,1,4,1
English,1,5,1
English,1,6,1
English,1,7,1
English,1,8,1
English,1,9,1
English,1,10,1
English,1,11,1
English,1,12,1
English,1,13,1
English,1,14,1
English,1,15,1
English,1,16,1
English,1,17,1
English,1,18,1
English,1,19,1
English,1,20,1
English,2,1,0
English,2,2,0
English,2,3,0
English,2,4,0
English,2,5,0
English,2,6,0
English,2,7,0
English,2,8,0
English,2,9,0
English,2,10,0
English,2,11,0
English,2,12,0
English,2,13,0
English,2,14,0
English,2,15,0
English,2,16,0
English,2,17,0
English,2,18,0
English,2,19,0
English,2,20,0
English,3,1,1
English,3,2,1
English,3,3,1
English,3,4,1
English,3,5,1
English,3,6,1
English,3,7,1
English,3,8,1
English,3,9,1
English,3,10,1
English,3,11,1
English,3,12,1
English,3,13,1
English,3,14,1
English,3,15,1
English,3,16,1
English,3,17,1
English,3,18,1
English,3,19,1
English,3,20,1
English,4,1,1
English,4,2,0
English,4,3,0
English,4,4,0
English,4,5,0
English,4,6,0
English,4,7,0
English,4,8,0
English,4,9,0
English,4,10,0
English,4,11,0
English,4,12,0
English,4,13,1
English,4,14,1
English,4,15,1
English,4,16,1
English,4,17,1
English,4,18,1
English,4,19,1
English,4,20,1
English,5,1,0
English,5,2,0
English,5,3,0
English,5,4,0
English,5,5,0
English,5,6,0
English,5,7,0
English,5,8,0
English,5,9,0
English,5,10,0
English,5,11,0
English,5,12,1
English,5,13,1
English,5,14,1
English,5,15,1
English,5,16,1
English,5,17,1
English,5,18,1
English,5,19,1
English,5,20,1
English,6,1,0
English,6,2,0
English,6,3,0
English,6,4,0
English,6,5,0
English,6,6,0
English,6,7,0
English,6,8,0
English,6,9,0
English,6,10,0
English,6,11,0
English,6,12,0
English,6,13,1
English,6,14,1
English,6,15,1
English,6,16,0
English,6,17,1
English,6,18,1
English,6,19,1
English,6,20,1
English,7,1,1
English,7,2,1
English,7,3,1
English,7,4,1
English,7,5,1
English,7,6,1
English,7,7,1
English,7,8,1
English,7,9,1
English,7,10,1
English,7,11,1
English,7,12,1
English,7,13,1
English,7,14,1
English,7,15,1
English,7,16,1
English,7,17,1
English,7,18,1
English,7,19,1
English,7,20,1
English,8,1,0
English,8,2,0
English,8,3,0
English,8,4,0
English,8,5,0
English,8,6,0
English,8,7,0
