"last.name"	"first.name"	"h.meters"	"h.in"
"Acker"	"Alex"	1.96	77
"Adams"	"Hassan"	1.93	76
"Afflalo"	"Arron"	1.96	77
"Ager"	"Maurice"	1.96	77
"Ajinca"	"Alexis"	2.13	84
"Aldridge"	"LaMarcus"	2.11	83
"Alexander"	"Joe"	2.03	80
"Allen"	"Malik"	2.08	82
"Allen"	"Ray"	1.96	77
"Allen"	"Tony"	1.93	76
"Almond"	"Morris"	1.98	78
"Alston"	"Rafer"	1.88	74
"Amundson"	"Louis"	2.06	81
"Andersen"	"Chris"	2.08	82
"Anderson"	"Ryan"	2.08	82
"Anthony"	"Carmelo"	2.03	80
"Anthony"	"Joel"	2.06	81
"Arenas"	"Gilbert"	1.93	76
"Ariza"	"Trevor"	2.03	80
"Armstrong"	"Hilton"	2.11	83
"Artest"	"Ron"	2.01	79
"Arthur"	"Darrell"	2.06	81
"Atkins"	"Chucky"	1.8	71
"Augustin"	"D.J."	1.83	72
"Azubuike"	"Kelenna"	1.96	77
"Balkman"	"Renaldo"	2.03	80
"Banks"	"Marcus"	1.88	74
"Barbosa"	"Leandro"	1.91	75
"Barea"	"Jose"	1.83	72
"Bargnani"	"Andrea"	2.13	84
"Barnes"	"Matt"	2.01	79
"Barry"	"Brent"	2.01	79
"Bass"	"Brandon"	2.03	80
"Baston"	"Maceo"	2.08	82
"Battie"	"Tony"	2.11	83
"Battier"	"Shane"	2.03	80
"Batum"	"Nicolas"	2.03	80
"Bayless"	"Jerryd"	1.91	75
"Beasley"	"Michael"	2.06	81
"Belinelli"	"Marco"	1.96	77
"Bell"	"Charlie"	1.91	75
"Bell"	"Raja"	1.96	77
"Bibby"	"Mike"	1.88	74
"Biedrins"	"Andris"	2.11	83
"Billups"	"Chauncey"	1.91	75
"Blake"	"Steve"	1.91	75
"Blatche"	"Andray"	2.11	83
"Blount"	"Mark"	2.13	84
"Bogans"	"Keith"	1.96	77
"Bogut"	"Andrew"	2.13	84
"Bonner"	"Matt"	2.08	82
"Boone"	"Josh"	2.08	82
"Booth"	"Calvin"	2.11	83
"Boozer"	"Carlos"	2.06	81
"Bosh"	"Chris"	2.08	82
"Bowen"	"Bruce"	2.01	79
"Bowen"	"Ryan"	2.06	81
"Brand"	"Elton"	2.06	81
"Brewer"	"Corey"	2.06	81
"Brewer"	"Ronnie"	2.01	79
"Brooks"	"Aaron"	1.83	72
"Brown"	"Andre"	2.06	81
"Brown"	"Bobby"	1.88	74
"Brown"	"Dee"	1.83	72
"Brown"	"Devin"	1.96	77
"Brown"	"Kwame"	2.11	83
"Brown"	"Shannon"	1.93	76
"Bryant"	"Kobe"	1.98	78
"Buckner"	"Greg"	1.93	76
"Butler"	"Caron"	2.01	79
"Butler"	"Rasual"	2.01	79
"Bynum"	"Andrew"	2.13	84
"Bynum"	"Will"	1.83	72
"Calderon"	"Jose"	1.91	75
"Camby"	"Marcus"	2.11	83
"Cardinal"	"Brian"	2.03	80
"Carney"	"Rodney"	2.01	79
"Carroll"	"Matt"	1.98	78
"Carter"	"Anthony"	1.88	74
"Carter"	"Vince"	1.98	78
"Cassell"	"Sam"	1.91	75
"Chalmers"	"Mario"	1.85	73
"Chandler"	"Tyson"	2.16	85
"Chandler"	"Wilson"	2.03	80
"Claxton"	"Speedy"	1.8	71
"Collins"	"Jarron"	2.11	83
"Collins"	"Jason"	2.13	84
"Collins"	"Mardy"	1.98	78
"Collison"	"Nick"	2.08	82
"Conley"	"Mike"	1.85	73
"Cook"	"Brian"	2.06	81
