address,price,bed,bath,area,link,type,year_built,heating,cooling,parking,lot,hoa
"1 Learned Pl, Durham, NC 27705",1520000,3,4,6040,https://www.zillow.com/homedetails/1-Learned-Pl-Durham-NC-27705/49981897_zpid/,Single Family,1972,"Other, Gas",Central,0 spaces,0.97,NA
"1616 Pinecrest Rd, Durham, NC 27705",1030000,5,4,4475,https://www.zillow.com/homedetails/1616-Pinecrest-Rd-Durham-NC-27705/49969247_zpid/,Single Family,1969,"Forced air, Gas",Central,"Carport, Covered",1.3800000000000001,NA
"2418 Wrightwood Ave, Durham, NC 27705",420000,2,3,1745,https://www.zillow.com/homedetails/2418-Wrightwood-Ave-Durham-NC-27705/49972133_zpid/,Single Family,1959,"Forced air, Gas",Central,"Garage - Attached, Covered",0.51,NA
"2527 Sevier St, Durham, NC 27705",680000,4,3,2091,https://www.zillow.com/homedetails/2527-Sevier-St-Durham-NC-27705/49967280_zpid/,Single Family,1961,"Heat pump, Other, Electric, Gas",Central,"Carport, Covered",0.8400000000000001,NA
"2218 Myers St, Durham, NC 27707",428500,4,3,1772,https://www.zillow.com/homedetails/2218-Myers-St-Durham-NC-27707/49972228_zpid/,Single Family,2020,"Forced air, Gas",Central,0 spaces,0.16,NA
"2619 Vesson Ave, Durham, NC 27707",456000,3,3,1950,https://www.zillow.com/homedetails/2619-Vesson-Ave-Durham-NC-27707/98213637_zpid/,Single Family,2014,"Forced air, Electric, Gas",Central,"Off-street, Covered",0.45,NA
"1803 Woodburn Rd, Durham, NC 27705",1270000,5,5,3909,https://www.zillow.com/homedetails/1803-Woodburn-Rd-Durham-NC-27705/49981874_zpid/,Single Family,1968,"Forced air, Gas",Central,"Carport, Garage - Attached, Covered",0.9400000000000001,NA
"19 Learned Pl, Durham, NC 27705",557450,4,3,2841,https://www.zillow.com/homedetails/19-Learned-Pl-Durham-NC-27705/49981900_zpid/,Single Family,1973,"Heat pump, Gas",Central,"Carport, Covered",0.7899999999999999,NA
"2827 Mcdowell Rd, Durham, NC 27705",697500,4,5,3924,https://www.zillow.com/homedetails/2827-Mcdowell-Rd-Durham-NC-27705/50019701_zpid/,Single Family,1972,"Other, Electric, Gas",Central,Covered,0.53,NA
"2709 Mcdowell Rd, Durham, NC 27705",650000,3,2,2173,https://www.zillow.com/homedetails/2709-Mcdowell-Rd-Durham-NC-27705/49967351_zpid/,Single Family,1964,"Forced air, Electric, Gas",Other,0 spaces,0.73,NA
"2819 Mcdowell Rd, Durham, NC 27705",540000,4,3,2091,https://www.zillow.com/homedetails/2819-Mcdowell-Rd-Durham-NC-27705/50019699_zpid/,Single Family,1977,"Forced air, Electric, Gas",Central,0 spaces,0.58,NA
"2743 Sevier St, Durham, NC 27705",546000,4,3,2492,https://www.zillow.com/homedetails/2743-Sevier-St-Durham-NC-27705/49967332_zpid/,Single Family,1962,"Heat pump, Electric",Other,"Garage - Attached, Covered",0.52,NA
"2750 Mcdowell Rd, Durham, NC 27705",671500,3,3,2200,https://www.zillow.com/homedetails/2750-Mcdowell-Rd-Durham-NC-27705/49967336_zpid/,Single Family,1964,"Other, Electric, Gas",Central,"Carport, Covered",0.51,NA
"1723 Tisdale St, Durham, NC 27705",580000,5,4,3889,https://www.zillow.com/homedetails/1723-Tisdale-St-Durham-NC-27705/49981775_zpid/,Single Family,1981,"Forced air, Electric, Gas",Central,0 spaces,0.45,NA
"15 Upchurch Cir, Durham, NC 27705",631500,4,4,3169,https://www.zillow.com/homedetails/15-Upchurch-Cir-Durham-NC-27705/49981831_zpid/,Single Family,1985,"Forced air, Heat pump, Electric, Gas",Central,Covered,0.45,NA
"2906 Montgomery St, Durham, NC 27705",610000,5,4,2750,https://www.zillow.com/homedetails/2906-Montgomery-St-Durham-NC-27705/49981843_zpid/,Single Family,1983,"Forced air, Electric",Central,"Garage - Attached, Covered",0.48000000000000004,NA
"2228 Cranford Rd, Durham, NC 27705",452500,3,2.5,3234,https://www.zillow.com/homedetails/2228-Cranford-Rd-Durham-NC-27705/49972221_zpid/,Single Family,1941,Other,Other,0 spaces,0.61,NA
"2251 Cranford Rd, Durham, NC 27705",900000,4,4,2933,https://www.zillow.com/homedetails/2251-Cranford-Rd-Durham-NC-27705/49972188_zpid/,Single Family,1945,"Forced air, Electric, Gas",Central,"Garage, Garage - Detached, Covered",0.63,NA
"2409 Wrightwood Ave, Durham, NC 27705",785000,4,3,3831,https://www.zillow.com/homedetails/2409-Wrightwood-Ave-Durham-NC-27705/49972159_zpid/,Single Family,1960,"Other, Gas",Central,"Garage - Attached, Covered",0.41000000000000003,NA
"1001 Norwood Ave, Durham, NC 27707",290000,3,2.5,2414,https://www.zillow.com/homedetails/1001-Norwood-Ave-Durham-NC-27707/49972218_zpid/,Single Family,1956,Other,Other,0 spaces,0.48000000000000004,NA
"1601 Anderson St, Durham, NC 27707",270000,3,3,1416,https://www.zillow.com/homedetails/1601-Anderson-St-Durham-NC-27707/2097843514_zpid/,Single Family,1990,No Data,No Data,0 spaces,0.36,NA
"2612 Mcdowell Rd, Durham, NC 27705",645000,4,4,2300,https://www.zillow.com/homedetails/2612-Mcdowell-Rd-Durham-NC-27705/49967292_zpid/,Single Family,1969,"Other, Gas",Central,"Garage - Attached, On-street, Covered",0.47000000000000003,NA
"2809 Mcdowell Rd, Durham, NC 27705",525000,3,2,1932,https://www.zillow.com/homedetails/2809-Mcdowell-Rd-Durham-NC-27705/50019696_zpid/,Single Family,1978,"Forced air, Heat pump, Gas",Central,"Garage - Attached, Covered",0.54,NA
"1804 Woodburn Rd, Durham, NC 27705",652000,4,2,2786,https://www.zillow.com/homedetails/1804-Woodburn-Rd-Durham-NC-27705/49981898_zpid/,Single Family,1968,"Forced air, Gas",Central,0 spaces,0.69,NA
"4 Womble Cir, Durham, NC 27705",689000,4,3,2830,https://www.zillow.com/homedetails/4-Womble-Cir-Durham-NC-27705/49981849_zpid/,Single Family,1984,"Forced air, Heat pump, Electric",Central,"Garage, Garage - Attached, Covered",0.43000000000000005,NA
"2727 Spencer St, Durham, NC 27705",603000,4,4,3487,https://www.zillow.com/homedetails/2727-Spencer-St-Durham-NC-27705/49969290_zpid/,Single Family,1965,"Other, Gas",Central,"Garage - Attached, Covered",0.61,NA
"2413 Perkins Rd, Durham, NC 27705",385000,3,2,1831,https://www.zillow.com/homedetails/2413-Perkins-Rd-Durham-NC-27705/49972151_zpid/,Single Family,1951,"Forced air, Gas",Central,0 spaces,0.29000000000000004,NA
"1020 Norwood Ave, Durham, NC 27707",342500,3,2,1935,https://www.zillow.com/homedetails/1020-Norwood-Ave-Durham-NC-27707/49972289_zpid/,Single Family,1960,"Forced air, Electric, Gas",Central,0 spaces,0.27,NA
"1017 Anderson St, Durham, NC 27705",305000,4,3,2015,https://www.zillow.com/homedetails/1017-Anderson-St-Durham-NC-27705/49972285_zpid/,Single Family,1955,"Forced air, Gas",Central,Off-street,0.28,NA
"2429 Wrightwood Ave, Durham, NC 27705",801000,4,2.5,2526,https://www.zillow.com/homedetails/2429-Wrightwood-Ave-Durham-NC-27705/49972119_zpid/,Single Family,1959,Other,Other,0 spaces,0.69,NA
"2732 Dogwood Rd, Durham, NC 27705",462000,4,3,2844,https://www.zillow.com/homedetails/2732-Dogwood-Rd-Durham-NC-27705/49978179_zpid/,Single Family,1956,"Forced air, Gas",Central,"Carport, Covered",0.63,NA
"2300 Elmwood Ave, Durham, NC 27707",475000,4,3,2422,https://www.zillow.com/homedetails/2300-Elmwood-Ave-Durham-NC-27707/49972297_zpid/,Single Family,1988,Other,Other,0 spaces,0.76,NA
"2630 Pickett Rd, Durham, NC 27705",265000,3,2,1300,https://www.zillow.com/homedetails/2630-Pickett-Rd-Durham-NC-27705/49981806_zpid/,Single Family,1938,"Other, Radiant, Gas",Central,"Garage, Garage - Detached, Off-street",0.42000000000000004,NA
"1118 Woodburn Rd, Durham, NC 27705",415000,4,3,2317,https://www.zillow.com/homedetails/1118-Woodburn-Rd-Durham-NC-27705/49978255_zpid/,Single Family,1955,"Forced air, Electric, Gas",Central,"Carport, Garage - Attached, Covered",0.56,NA
"2510 Wrightwood Ave, Durham, NC 27705",600000,4,3,3300,https://www.zillow.com/homedetails/2510-Wrightwood-Ave-Durham-NC-27705/49972138_zpid/,Single Family,1953,"Forced air, Gas",Central,"Off-street, Covered",0.59,NA
"4 Learned Pl, Durham, NC 27705",1250000,6,5,6178,https://www.zillow.com/homedetails/4-Learned-Pl-Durham-NC-27705/61725416_zpid/,Single Family,2009,"Forced air, Gas, Wood / Pellet",Central,"Garage - Attached, Covered",0.62,NA
"2742 Circle Dr, Durham, NC 27705",615000,3,3,2203,https://www.zillow.com/homedetails/2742-Circle-Dr-Durham-NC-27705/49978185_zpid/,Single Family,1954,"Heat pump, Electric",Other,0 spaces,0.63,NA
"2722 Mcdowell Rd, Durham, NC 27705",481000,4,3,2150,https://www.zillow.com/homedetails/2722-Mcdowell-Rd-Durham-NC-27705/49967344_zpid/,Single Family,1961,"Forced air, Other",Other,0 spaces,0.5,NA
"1114 Woodburn Rd, Durham, NC 27705",465000,4,3,2127,https://www.zillow.com/homedetails/1114-Woodburn-Rd-Durham-NC-27705/49978256_zpid/,Single Family,1957,"Forced air, Heat pump, Electric",Other,Garage - Attached,0.61,NA
"2719 Montgomery St, Durham, NC 27705",535000,3,2,2334,https://www.zillow.com/homedetails/2719-Montgomery-St-Durham-NC-27705/49969310_zpid/,Single Family,1969,"Forced air, Heat pump, Gas","Central, Other","Garage, Carport, Covered",0.59,NA
"2409 Perkins Rd, Durham, NC 27705",368000,3,2,1621,https://www.zillow.com/homedetails/2409-Perkins-Rd-Durham-NC-27705/49972150_zpid/,Single Family,1957,"Heat pump, Electric, Gas",Central,0 spaces,0.29000000000000004,NA
"1129 Anderson St, Durham, NC 27705",535000,3,3,2937,https://www.zillow.com/homedetails/1129-Anderson-St-Durham-NC-27705/49972296_zpid/,Single Family,1957,"Forced air, Gas",Other,0 spaces,0.5700000000000001,NA
"2714 Mcdowell Rd, Durham, NC 27705",425000,3,3,2086,https://www.zillow.com/homedetails/2714-Mcdowell-Rd-Durham-NC-27705/49967347_zpid/,Single Family,1960,"Other, Electric, Gas",Central,0 spaces,0.55,NA
"25 Scott Pl, Durham, NC 27705",705000,4,2.5,2446,https://www.zillow.com/homedetails/25-Scott-Pl-Durham-NC-27705/49981891_zpid/,Single Family,1969,"Forced air, Gas",Other,0 spaces,0.76,NA
"2209 Pike St, Durham, NC 27707",155000,4,2,1620,https://www.zillow.com/homedetails/2209-Pike-St-Durham-NC-27707/49972259_zpid/,Single Family,1957,Forced air,No Data,0 spaces,0.17,NA
"1409 Pinecrest Rd, Durham, NC 27705",812000,4,4,2899,https://www.zillow.com/homedetails/1409-Pinecrest-Rd-Durham-NC-27705/49967263_zpid/,Single Family,1989,"Forced air, Gas",Central,0 spaces,0.55,NA
"2703 Montgomery St, Durham, NC 27705",915000,5,6,4335,https://www.zillow.com/homedetails/2703-Montgomery-St-Durham-NC-27705/49969306_zpid/,Single Family,1966,"Forced air, Gas",Other,0 spaces,0.6,NA
"147 Pinecrest Rd, Durham, NC 27705",600000,3,2.5,2514,https://www.zillow.com/homedetails/147-Pinecrest-Rd-Durham-NC-27705/49978249_zpid/,Single Family,1934,Other,Other,Garage,0.69,NA
"1123 Woodburn Rd, Durham, NC 27705",416000,5,3,2949,https://www.zillow.com/homedetails/1123-Woodburn-Rd-Durham-NC-27705/49978181_zpid/,Single Family,1955,"Forced air, Gas",Other,0 spaces,0.55,NA
"2528 Wrightwood Ave, Durham, NC 27705",525000,4,3,2902,https://www.zillow.com/homedetails/2528-Wrightwood-Ave-Durham-NC-27705/49972131_zpid/,Single Family,1958,"Forced air, Electric, Gas",Other,Garage - Attached,0.61,NA
"2753 Mcdowell Rd, Durham, NC 27705",339000,3,2,2016,https://www.zillow.com/homedetails/2753-Mcdowell-Rd-Durham-NC-27705/49967359_zpid/,Single Family,1962,Other,Other,0 spaces,1.1,NA
"2502 Sevier St, Durham, NC 27705",725000,4,5,3835,https://www.zillow.com/homedetails/2502-Sevier-St-Durham-NC-27705/49967309_zpid/,Single Family,1961,"Other, Gas",Other,0 spaces,0.63,NA
"1121 Anderson St, Durham, NC 27705",863000,4,4,3962,https://www.zillow.com/homedetails/1121-Anderson-St-Durham-NC-27705/49972294_zpid/,Single Family,1952,"Forced air, Electric, Gas",Central,"Garage - Detached, Off-street, Covered",0.65,NA
"2522 Chapel Hill Rd, Durham, NC 27707",199500,3,1,1120,https://www.zillow.com/homedetails/2522-Chapel-Hill-Rd-Durham-NC-27707/49968700_zpid/,Single Family,1952,Other,Other,0 spaces,0.15,NA
"2 Scott Pl, Durham, NC 27705",521000,4,2,2354,https://www.zillow.com/homedetails/2-Scott-Pl-Durham-NC-27705/49981896_zpid/,Single Family,1970,"Forced air, Gas",Central,Garage - Attached,0.65,NA
"2111 Lafayette St, Durham, NC 27707",150000,3,1,1734,https://www.zillow.com/homedetails/2111-Lafayette-St-Durham-NC-27707/49972278_zpid/,Single Family,1945,Other,Other,0 spaces,0.16,NA
"2745 Mcdowell Rd, Durham, NC 27705",577000,4,3,2693,https://www.zillow.com/homedetails/2745-Mcdowell-Rd-Durham-NC-27705/49967357_zpid/,Single Family,1965,"Forced air, Gas",Other,"Carport, Covered",0.73,NA
