country,meat,life_0,life_5,mortality,calories,gdp,pop,obese,cho_crops,education
Afghanistan,12.67,62.25,62.72,80.33,2099,1660.74,25.07,4.9,197.31,
Albania,60.69,77.66,73.95,11.23,3169.67,10207.7,53.25,20.5,236.77,94.35
Algeria,20.65,75.27,72.74,26.23,3261.67,12990.35,68.21,26,310.84,32.9
Angola,34.28,60.19,61.84,105.3,2421.33,5911.25,40.9,7.5,364.91,
Antigua and Barbuda,82.78,75.81,71.68,9,2359.67,18605.32,25.67,18,131.23,
Argentina,106.28,76.01,72.24,13.3,3195.67,19629.35,91.13,27.3,213.93,91.49
Armenia,44.29,73.99,70.19,16.73,2866,7022.1,63.37,19.2,218.91,99.27
Australia,118.23,82.3,77.68,4.3,3256.67,41782.28,88.88,27.9,190.75,99.79
Austria,89.97,80.99,76.31,4.07,3747.33,44452.73,65.86,19.2,216.12,
Azerbaijan,31.02,71.57,69.21,32.67,3070.67,15754.15,53.62,18.8,326.43,97.84
Bahamas,107.29,75.15,71.15,14.9,2636.33,22674.73,82.61,30.5,128.55,95.28
Bangladesh,4.11,71.25,69.28,43.83,2438,2570.85,31.23,3.2,245.79,47.93
Barbados,68.34,75.37,71.2,14.7,2913.67,16472.08,31.91,22,209.73,
Belarus,88.34,72.15,67.48,4.8,3350,17166.7,75.05,23.7,343.31,
Belgium,69.64,80.52,75.87,4.3,3722.67,41248.73,97.69,21.4,267.29,92.65
Belize,49.87,69.76,65.93,17.63,2749,7855.7,44.72,23,178.58,99.79
Benin,24.84,59.93,61.89,106.3,2609,1820.89,42.26,8.9,400.54,
Bermuda,108.94,,,,2656.33,54984.51,100,,129.98,
Bolivia (Plurinational State of),67.17,67.72,67.91,36.73,2237.33,5598.51,66.86,19.3,229.38,59.2
Bosnia and Herzegovina,33.71,76.3,71.99,6.7,3112.67,9901.54,39.29,17.1,269.39,
Botswana,29.34,62.91,60.81,37.27,2313.67,13889.27,56.47,18.2,200.73,73.1
Brazil,94.69,74.66,71.06,17.3,3265.67,14973.1,84.62,21.1,217.3,78.38
Brunei Darussalam,85.04,76.71,72.31,10,2965.33,82434.88,75.87,13.1,206.65,69.16
Bulgaria,55.65,74.25,69.99,9.83,2791.67,15676.05,72.64,24.1,207.37,
Burkina Faso,14.69,58.71,60.09,112.57,2697,1472.72,26.51,5,236.48,
Cabo Verde,34.92,72.15,69.1,23.87,2588.33,771.51,10.91,11,202.04,49.47
Cambodia,13.88,67.61,65.04,37.87,2445,5991.78,62.62,3.5,223.92,16.2
Cameroon,13.55,56.39,57.85,101.6,2622,2658.71,19.97,10.6,282.26,26.41
Canada,91.7,81.77,77.22,5.5,3484.33,2969.05,52.1,28.3,240.39,
Central African Republic,34.89,49.4,52.93,135.8,2049.67,41565.27,81.12,6.9,321.5,
Chad,12.26,51.67,55.39,140.67,2098.67,911.66,39.03,5.6,226.52,
Chile,82.34,78.82,74.53,8.4,2964.33,1863.85,22.05,27,254.62,84.21
China,59.99,,71.7,13.53,3095.33,20437.7,88.79,5.5,168.81,
"China, Hong Kong SAR",154.86,83.4,78.62,,3276.67,10384.37,50.57,,159.76,92.7
"China, Macao SAR",115.6,83.29,78.63,,2896.33,50085.96,100,,227.24,86.41
"China, mainland",59.17,75.67,,40.6,3096.33,116752.21,100,,147.99,
"China, Taiwan Province of",78.05,79.25,74.66,,2969.33,,,,220.86,
Colombia,48.51,73.74,70.63,17.23,2750.67,11496.48,75.32,21.4,345.35,75.54
Congo,30.34,62.55,61.99,107.33,2183.67,5213.95,63.67,8.9,182.85,45.66
Costa Rica,49.25,79.16,75.06,9.9,2860,13397.23,72.87,24.3,423.99,80.49
Côte d'Ivoire,14.58,51.7,52.39,100.1,2787.67,2511.42,51.31,9.4,208.45,27.82
Croatia,65.18,77.05,72.44,5.2,3017,20704.31,57.8,23.4,295.52,95.44
Cuba,51.13,79.16,74.71,5.97,3346.67,,76.69,23.6,153.83,90.32
Cyprus,78.64,79.93,75.31,3.17,2657.33,33192.38,67.41,21.1,232.73,92.15
Czechia,76.27,78.17,73.41,3.2,3250,28797.42,73.19,25.2,215.35,99.88
Democratic People's Republic of Korea,13.95,70.79,67.55,25.8,2099.67,,60.32,6.3,249.75,
Denmark,77.84,80.14,75.48,4.1,3348.67,44403.39,86.96,18.9,214.35,
Djibouti,17.95,61.62,62.13,71.83,2552,2705.41,77.05,12.9,268.52,
Dominica,55.19,,,26.93,2947.33,10135.27,68.39,26.8,148.94,
Dominican Republic,47.11,73.19,70.34,33.23,2583,11320.9,74.93,26.1,138.38,65.71
Ecuador,53.95,75.54,72.5,16.77,2355.67,9926.9,62.89,19,322.81,78.1
Egypt,29.15,70.84,67.58,26.4,3544,9823.82,43,30.6,195.13,
El Salvador,28.84,72.63,69.09,17.47,2557.67,7428.03,64.79,23.4,270.46,53.26
Estonia,63.29,76.76,72.09,3.9,3258,24543.07,67.97,20.7,230.45,
Ethiopia,7.4,63.69,63.27,73.5,2119.33,1162.78,17.74,4,301.68,14.21
Fiji,45.58,69.72,66.13,23.63,2932.33,7488.83,52.21,28.9,210.81,
Finland,76.77,80.69,75.93,2.73,3332,40683.53,83.69,21.4,219.31,
France,88.51,81.89,77.22,4.17,3485.33,37457.28,78.58,20.8,189.26,97.76
French Polynesia,101.74,76.14,71.72,,2930.33,,56.35,,302.34,
Gabon,68.04,64.46,63.35,56.9,2799,15893.52,86.05,14.3,219.27,
Gambia,7.62,60.31,60.14,67.37,2657.33,1524.76,57.01,9.5,289.42,
Georgia,27.48,72.75,68.7,12.17,2849.67,7315.09,53.02,20.5,225.19,98.65
Germany,86.76,80.45,75.77,4.03,3512.67,42692.52,74.49,21.5,507.06,100
Ghana,17.06,61.68,61.12,62.83,3020.33,3404.46,51.39,10.1,231.8,57.01
Greece,76.62,80.62,75.94,4.03,3410.33,26141.32,76.65,24,145.42,91.77
Grenada,60.33,73.17,69.13,15.53,2437,11220.83,35.63,20.2,191.98,
Guatemala,27.4,72.44,69.86,31.93,2440,6844.5,49.77,20,270.2,46.16
Guinea,10.05,57.93,59.41,113.43,2557.67,1625.57,35.3,7,211.33,9.12
Guinea-Bissau,16.58,56,59.52,102.83,2319.67,1475.39,46.08,8.7,215.92,
Guyana,42.46,66.26,64.06,35.73,2709.67,6130.84,28.27,19,209.42,
Haiti,18.26,62.29,62.43,75.9,2090.67,1562.28,53.46,21,190.18,
Honduras,33.88,72.88,70.89,21.53,2631.33,4046.08,52.32,20.1,199.54,58.02
Hungary,70.31,75.4,70.82,5.73,3036.67,22841.21,69.35,25.4,173.97,99.51
Iceland,90.06,82.19,77.37,2.47,3374.67,39465.85,93.73,21.1,202.65,
India,3.98,67.58,66.28,52.07,2449.67,4635.88,31.28,3.5,270.73,40.33
Indonesia,13.13,68.6,65.72,31.33,2753,8837.82,50.71,6.1,265.28,73.43
Iran (Islamic Republic of),33.76,75.06,71.37,18.03,3069.67,18192.11,71.2,24.6,213.48,
Iraq,18.87,69.19,66.86,32.53,2522,13261.6,69.1,29.2,266.8,74.44
Ireland,82.6,80.85,76.18,4,3599.33,45179.83,62.11,24,214.62,
Israel,97.5,81.91,77.25,4.27,3586.33,30558.39,91.89,25.5,226.69,93.89
Italy,85.73,82.34,77.64,3.8,3576.33,36347.34,68.44,19.3,231.37,92.67
Jamaica,62.26,75.45,71.81,17.17,2756,8099.16,53.93,23.5,170.72,99.35
Japan,49.33,83.27,78.53,3.03,2726,35774.7,91.25,3.9,236.29,99.54
Jordan,45.51,73.81,70.29,19.13,3126.67,9214.21,82.72,34.3,252.39,79.65
Kazakhstan,68.81,69.07,65.28,16.4,3219.33,21277.71,53.58,20,231.3,99.93
Kenya,14.91,65.4,64.18,54.47,2189.33,2556.87,23.97,6.5,264.55,47.13
