location,state,driver_race,stops_per_year,stop_rate,search_rate,consent_search_rate,arrest_rate,citation_rate_speeding_stops,hit_rate,inferred_threshold
APACHE COUNTY,AZ,Black,266,0.995,0.077,NA,0.016,NA,NA,NA
APACHE COUNTY,AZ,Hispanic,1008,0.262,0.053,NA,0.018,NA,NA,NA
APACHE COUNTY,AZ,White,6322,0.431,0.017,NA,0.006,NA,NA,NA
COCHISE COUNTY,AZ,Black,1169,0.23,0.047,NA,0.015,NA,NA,NA
COCHISE COUNTY,AZ,Hispanic,9453,0.259,0.037,NA,0.01,NA,NA,NA
COCHISE COUNTY,AZ,White,10826,0.145,0.024,NA,0.008,NA,NA,NA
COCONINO COUNTY,AZ,Black,1179,0.708,0.068,NA,0.026,NA,NA,NA
COCONINO COUNTY,AZ,Hispanic,3198,0.198,0.061,NA,0.023,NA,NA,NA
COCONINO COUNTY,AZ,White,17163,0.226,0.023,NA,0.011,NA,NA,NA
GILA COUNTY,AZ,Black,229,0.825,0.037,NA,0.013,NA,NA,NA
GILA COUNTY,AZ,Hispanic,1494,0.168,0.038,NA,0.013,NA,NA,NA
GILA COUNTY,AZ,White,10830,0.29,0.014,NA,0.007,NA,NA,NA
GRAHAM COUNTY,AZ,Black,125,0.161,0.08,NA,0.033,NA,NA,NA
GRAHAM COUNTY,AZ,Hispanic,1439,0.133,0.072,NA,0.043,NA,NA,NA
GRAHAM COUNTY,AZ,White,4050,0.205,0.04,NA,0.022,NA,NA,NA
GREENLEE COUNTY,AZ,Black,25,0.35,0.05,NA,0.025,NA,NA,NA
GREENLEE COUNTY,AZ,Hispanic,318,0.106,0.022,NA,0.007,NA,NA,NA
GREENLEE COUNTY,AZ,White,732,0.178,0.021,NA,0.009,NA,NA,NA
LA PAZ COUNTY,AZ,Black,719,5.279,0.048,NA,0.016,NA,NA,NA
LA PAZ COUNTY,AZ,Hispanic,2842,0.723,0.036,NA,0.011,NA,NA,NA
LA PAZ COUNTY,AZ,White,6387,0.488,0.02,NA,0.007,NA,NA,NA
MARICOPA COUNTY,AZ,Black,12103,0.075,0.082,NA,0.034,NA,NA,NA
MARICOPA COUNTY,AZ,Hispanic,33509,0.038,0.101,NA,0.033,NA,NA,NA
MARICOPA COUNTY,AZ,White,92877,0.045,0.04,NA,0.018,NA,NA,NA
MOHAVE COUNTY,AZ,Black,1204,0.534,0.084,NA,0.023,NA,NA,NA
MOHAVE COUNTY,AZ,Hispanic,3043,0.11,0.068,NA,0.021,NA,NA,NA
MOHAVE COUNTY,AZ,White,15044,0.092,0.038,NA,0.016,NA,NA,NA
NAVAJO COUNTY,AZ,Black,695,0.696,0.103,NA,0.038,NA,NA,NA
NAVAJO COUNTY,AZ,Hispanic,2088,0.208,0.081,NA,0.035,NA,NA,NA
NAVAJO COUNTY,AZ,White,12946,0.282,0.032,NA,0.015,NA,NA,NA
PIMA COUNTY,AZ,Black,2113,0.067,0.07,NA,0.023,NA,NA,NA
PIMA COUNTY,AZ,Hispanic,15610,0.051,0.082,NA,0.024,NA,NA,NA
PIMA COUNTY,AZ,White,19703,0.036,0.034,NA,0.015,NA,NA,NA
PINAL COUNTY,AZ,Black,1936,0.118,0.068,NA,0.019,NA,NA,NA
PINAL COUNTY,AZ,Hispanic,11871,0.124,0.081,NA,0.015,NA,NA,NA
PINAL COUNTY,AZ,White,19451,0.09,0.027,NA,0.009,NA,NA,NA
SANTA CRUZ COUNTY,AZ,Black,99,0.733,0.027,NA,0.012,NA,NA,NA
SANTA CRUZ COUNTY,AZ,Hispanic,6092,0.185,0.039,NA,0.01,NA,NA,NA
SANTA CRUZ COUNTY,AZ,White,1345,0.175,0.02,NA,0.01,NA,NA,NA
YAVAPAI COUNTY,AZ,Black,1422,1.07,0.065,NA,0.022,NA,NA,NA
YAVAPAI COUNTY,AZ,Hispanic,4635,0.189,0.076,NA,0.022,NA,NA,NA
YAVAPAI COUNTY,AZ,White,23424,0.134,0.027,NA,0.012,NA,NA,NA
YUMA COUNTY,AZ,Black,740,0.205,0.024,NA,0.011,NA,NA,NA
YUMA COUNTY,AZ,Hispanic,6736,0.068,0.022,NA,0.006,NA,NA,NA
YUMA COUNTY,AZ,White,8065,0.125,0.014,NA,0.006,NA,NA,NA
ALAMEDA COUNTY,CA,Black,42735,0.287,0.067,NA,0.048,NA,NA,NA
ALAMEDA COUNTY,CA,Hispanic,60119,0.232,0.051,NA,0.034,NA,NA,NA
ALAMEDA COUNTY,CA,White,84391,0.185,0.022,NA,0.019,NA,NA,NA
ALPINE COUNTY,CA,Black,249,83.0,0.045,NA,0.039,NA,NA,NA
ALPINE COUNTY,CA,Hispanic,1208,18.6,0.044,NA,0.035,NA,NA,NA
ALPINE COUNTY,CA,White,10336,15.621,0.029,NA,0.026,NA,NA,NA
AMADOR COUNTY,CA,Black,303,0.412,0.032,NA,0.014,NA,NA,NA
AMADOR COUNTY,CA,Hispanic,1137,0.303,0.05,NA,0.019,NA,NA,NA
AMADOR COUNTY,CA,White,9516,0.366,0.018,NA,0.015,NA,NA,NA
BUTTE COUNTY,CA,Black,930,0.359,0.051,NA,0.034,NA,NA,NA
BUTTE COUNTY,CA,Hispanic,3414,0.142,0.048,NA,0.036,NA,NA,NA
BUTTE COUNTY,CA,White,24936,0.178,0.036,NA,0.03,NA,NA,NA
CALAVERAS COUNTY,CA,Black,196,0.635,0.033,NA,0.021,NA,NA,NA
CALAVERAS COUNTY,CA,Hispanic,887,0.239,0.042,NA,0.026,NA,NA,NA
CALAVERAS COUNTY,CA,White,10962,0.343,0.027,NA,0.023,NA,NA,NA
COLUSA COUNTY,CA,Black,600,3.903,0.038,NA,0.016,NA,NA,NA
COLUSA COUNTY,CA,Hispanic,2938,0.352,0.04,NA,0.024,NA,NA,NA
COLUSA COUNTY,CA,White,9515,1.394,0.019,NA,0.012,NA,NA,NA
CONTRA COSTA COUNTY,CA,Black,10857,0.141,0.043,NA,0.035,NA,NA,NA
CONTRA COSTA COUNTY,CA,Hispanic,11097,0.057,0.052,NA,0.042,NA,NA,NA
CONTRA COSTA COUNTY,CA,White,24847,0.058,0.026,NA,0.024,NA,NA,NA
DEL NORTE COUNTY,CA,Black,102,0.108,0.026,NA,0.012,NA,NA,NA
DEL NORTE COUNTY,CA,Hispanic,590,0.148,0.049,NA,0.036,NA,NA,NA
DEL NORTE COUNTY,CA,White,8497,0.568,0.025,NA,0.02,NA,NA,NA
EL DORADO COUNTY,CA,Black,509,0.437,0.043,NA,0.035,NA,NA,NA
EL DORADO COUNTY,CA,Hispanic,1560,0.099,0.06,NA,0.044,NA,NA,NA
EL DORADO COUNTY,CA,White,19473,0.161,0.036,NA,0.032,NA,NA,NA
FRESNO COUNTY,CA,Black,4629,0.137,0.057,NA,0.036,NA,NA,NA
FRESNO COUNTY,CA,Hispanic,42985,0.128,0.081,NA,0.039,NA,NA,NA
FRESNO COUNTY,CA,White,30180,0.119,0.031,NA,0.021,NA,NA,NA
GLENN COUNTY,CA,Black,503,3.048,0.033,NA,0.018,NA,NA,NA
GLENN COUNTY,CA,Hispanic,2650,0.355,0.043,NA,0.023,NA,NA,NA
GLENN COUNTY,CA,White,10435,0.835,0.016,NA,0.012,NA,NA,NA
HUMBOLDT COUNTY,CA,Black,454,0.354,0.067,NA,0.044,NA,NA,NA
HUMBOLDT COUNTY,CA,Hispanic,988,0.099,0.092,NA,0.056,NA,NA,NA
HUMBOLDT COUNTY,CA,White,15179,0.173,0.057,NA,0.041,NA,NA,NA
IMPERIAL COUNTY,CA,Black,2768,0.649,0.019,NA,0.012,NA,NA,NA
IMPERIAL COUNTY,CA,Hispanic,50324,0.476,0.017,NA,0.012,NA,NA,NA
IMPERIAL COUNTY,CA,White,20036,1.049,0.011,NA,0.009,NA,NA,NA
INYO COUNTY,CA,Black,374,3.431,0.028,NA,0.018,NA,NA,NA
INYO COUNTY,CA,Hispanic,2257,0.902,0.035,NA,0.021,NA,NA,NA
INYO COUNTY,CA,White,12140,1.16,0.02,NA,0.014,NA,NA,NA
KERN COUNTY,CA,Black,13753,0.398,0.035,NA,0.019,NA,NA,NA
KERN COUNTY,CA,Hispanic,81769,0.275,0.039,NA,0.024,NA,NA,NA
KERN COUNTY,CA,White,78385,0.3,0.025,NA,0.019,NA,NA,NA
KINGS COUNTY,CA,Black,1285,0.156,0.046,NA,0.037,NA,NA,NA
KINGS COUNTY,CA,Hispanic,11080,0.201,0.05,NA,0.035,NA,NA,NA
KINGS COUNTY,CA,White,9514,0.223,0.023,NA,0.022,NA,NA,NA
LAKE COUNTY,CA,Black,328,0.335,0.069,NA,0.053,NA,NA,NA
LAKE COUNTY,CA,Hispanic,1364,0.17,0.085,NA,0.08,NA,NA,NA
LAKE COUNTY,CA,White,8961,0.223,0.051,NA,0.049,NA,NA,NA
LASSEN COUNTY,CA,Black,385,0.144,0.03,NA,0.016,NA,NA,NA
LASSEN COUNTY,CA,Hispanic,1009,0.199,0.028,NA,0.019,NA,NA,NA
LASSEN COUNTY,CA,White,14537,0.799,0.017,NA,0.016,NA,NA,NA
LOS ANGELES COUNTY,CA,Black,102031,0.152,0.038,NA,0.03,NA,NA,NA
LOS ANGELES COUNTY,CA,Hispanic,369842,0.104,0.046,NA,0.035,NA,NA,NA
LOS ANGELES COUNTY,CA,White,225057,0.095,0.022,NA,0.02,NA,NA,NA
MADERA COUNTY,CA,Black,883,0.206,0.046,NA,0.038,NA,NA,NA
MADERA COUNTY,CA,Hispanic,9630,0.167,0.068,NA,0.056,NA,NA,NA
MADERA COUNTY,CA,White,12787,0.268,0.038,NA,0.031,NA,NA,NA
MARIN COUNTY,CA,Black,2658,0.461,0.043,NA,0.03,NA,NA,NA
MARIN COUNTY,CA,Hispanic,6758,0.231,0.067,NA,0.033,NA,NA,NA
MARIN COUNTY,CA,White,34500,0.218,0.022,NA,0.02,NA,NA,NA
MARIPOSA COUNTY,CA,Black,76,0.539,0.039,NA,0.024,NA,NA,NA
MARIPOSA COUNTY,CA,Hispanic,565,0.43,0.028,NA,0.013,NA,NA,NA
MARIPOSA COUNTY,CA,White,4868,0.384,0.014,NA,0.012,NA,NA,NA
MENDOCINO COUNTY,CA,Black,910,1.888,0.067,NA,0.037,NA,NA,NA
MENDOCINO COUNTY,CA,Hispanic,4425,0.322,0.07,NA,0.039,NA,NA,NA
MENDOCINO COUNTY,CA,White,29014,0.572,0.041,NA,0.028,NA,NA,NA
MERCED COUNTY,CA,Black,3430,0.51,0.035,NA,0.021,NA,NA,NA
MERCED COUNTY,CA,Hispanic,26605,0.263,0.059,NA,0.03,NA,NA,NA
MERCED COUNTY,CA,White,23061,0.35,0.018,NA,0.015,NA,NA,NA
MODOC COUNTY,CA,Black,77,0.962,0.044,NA,0.023,NA,NA,NA
MODOC COUNTY,CA,Hispanic,384,0.407,0.026,NA,0.021,NA,NA,NA
MODOC COUNTY,CA,White,5008,0.826,0.014,NA,0.014,NA,NA,NA
MONO COUNTY,CA,Black,281,3.903,0.026,NA,0.021,NA,NA,NA
MONO COUNTY,CA,Hispanic,1708,0.657,0.022,NA,0.017,NA,NA,NA
MONO COUNTY,CA,White,10244,1.233,0.014,NA,0.013,NA,NA,NA
MONTEREY COUNTY,CA,Black,2383,0.24,0.036,NA,0.026,NA,NA,NA
MONTEREY COUNTY,CA,Hispanic,27746,0.165,0.063,NA,0.045,NA,NA,NA
MONTEREY COUNTY,CA,White,29525,0.25,0.022,NA,0.019,NA,NA,NA
NAPA COUNTY,CA,Black,807,0.365,0.039,NA,0.028,NA,NA,NA
NAPA COUNTY,CA,Hispanic,5796,0.177,0.08,NA,0.042,NA,NA,NA
NAPA COUNTY,CA,White,15582,0.234,0.032,NA,0.027,NA,NA,NA
NEVADA COUNTY,CA,Black,911,2.706,0.027,NA,0.02,NA,NA,NA
NEVADA COUNTY,CA,Hispanic,2127,0.336,0.023,NA,0.014,NA,NA,NA
NEVADA COUNTY,CA,White,20528,0.281,0.025,NA,0.019,NA,NA,NA
ORANGE COUNTY,CA,Black,10736,0.267,0.033,NA,0.026,NA,NA,NA
ORANGE COUNTY,CA,Hispanic,65436,0.086,0.051,NA,0.035,NA,NA,NA
ORANGE COUNTY,CA,White,96689,0.085,0.022,NA,0.02,NA,NA,NA
PLACER COUNTY,CA,Black,871,0.207,0.037,NA,0.018,NA,NA,NA
PLACER COUNTY,CA,Hispanic,2122,0.062,0.046,NA,0.022,NA,NA,NA
PLACER COUNTY,CA,White,18999,0.084,0.021,NA,0.016,NA,NA,NA
PLUMAS COUNTY,CA,Black,216,1.584,0.042,NA,0.023,NA,NA,NA
PLUMAS COUNTY,CA,Hispanic,497,0.429,0.047,NA,0.029,NA,NA,NA
PLUMAS COUNTY,CA,White,8361,0.603,0.032,NA,0.024,NA,NA,NA
RIVERSIDE COUNTY,CA,Black,15923,0.147,0.033,NA,0.024,NA,NA,NA
RIVERSIDE COUNTY,CA,Hispanic,69818,0.093,0.042,NA,0.032,NA,NA,NA
RIVERSIDE COUNTY,CA,White,59115,0.08,0.026,NA,0.021,NA,NA,NA
SACRAMENTO COUNTY,CA,Black,23191,0.209,0.064,NA,0.05,NA,NA,NA
SACRAMENTO COUNTY,CA,Hispanic,26356,0.117,0.068,NA,0.053,NA,NA,NA
SACRAMENTO COUNTY,CA,White,86987,0.15,0.036,NA,0.031,NA,NA,NA
SAN BENITO COUNTY,CA,Black,2560,7.134,0.017,NA,0.011,NA,NA,NA
SAN BENITO COUNTY,CA,Hispanic,28332,1.206,0.031,NA,0.02,NA,NA,NA
SAN BENITO COUNTY,CA,White,22477,1.264,0.015,NA,0.012,NA,NA,NA
SAN BERNARDINO COUNTY,CA,Black,28258,0.211,0.034,NA,0.028,NA,NA,NA
SAN BERNARDINO COUNTY,CA,Hispanic,96100,0.128,0.04,NA,0.032,NA,NA,NA
SAN BERNARDINO COUNTY,CA,White,115202,0.209,0.023,NA,0.021,NA,NA,NA
SAN DIEGO COUNTY,CA,Black,24520,0.199,0.039,NA,0.032,NA,NA,NA
SAN DIEGO COUNTY,CA,Hispanic,152868,0.2,0.034,NA,0.026,NA,NA,NA
SAN DIEGO COUNTY,CA,White,153500,0.118,0.028,NA,0.026,NA,NA,NA
SAN FRANCISCO COUNTY,CA,Black,7949,0.203,0.055,NA,0.042,NA,NA,NA
SAN FRANCISCO COUNTY,CA,Hispanic,9480,0.09,0.064,NA,0.051,NA,NA,NA
SAN FRANCISCO COUNTY,CA,White,25132,0.079,0.027,NA,0.025,NA,NA,NA
SAN JOAQUIN COUNTY,CA,Black,8012,0.213,0.072,NA,0.056,NA,NA,NA
SAN JOAQUIN COUNTY,CA,Hispanic,24374,0.127,0.084,NA,0.062,NA,NA,NA
SAN JOAQUIN COUNTY,CA,White,32299,0.157,0.042,NA,0.034,NA,NA,NA
SAN LUIS OBISPO COUNTY,CA,Black,1048,0.22,0.04,NA,0.027,NA,NA,NA
SAN LUIS OBISPO COUNTY,CA,Hispanic,9551,0.22,0.07,NA,0.037,NA,NA,NA
SAN LUIS OBISPO COUNTY,CA,White,28912,0.172,0.029,NA,0.026,NA,NA,NA
SAN MATEO COUNTY,CA,Black,3605,0.226,0.041,NA,0.029,NA,NA,NA
SAN MATEO COUNTY,CA,Hispanic,13799,0.099,0.063,NA,0.041,NA,NA,NA
SAN MATEO COUNTY,CA,White,30325,0.116,0.021,NA,0.018,NA,NA,NA
SANTA CLARA COUNTY,CA,Black,4723,0.129,0.032,NA,0.028,NA,NA,NA
SANTA CLARA COUNTY,CA,Hispanic,26953,0.076,0.049,NA,0.04,NA,NA,NA
SANTA CLARA COUNTY,CA,White,34870,0.065,0.018,NA,0.018,NA,NA,NA
SANTA CRUZ COUNTY,CA,Black,887,0.412,0.054,NA,0.037,NA,NA,NA
SANTA CRUZ COUNTY,CA,Hispanic,10317,0.164,0.077,NA,0.045,NA,NA,NA
SANTA CRUZ COUNTY,CA,White,27486,0.2,0.037,NA,0.03,NA,NA,NA
SHASTA COUNTY,CA,Black,920,0.778,0.034,NA,0.027,NA,NA,NA
SHASTA COUNTY,CA,Hispanic,4547,0.406,0.044,NA,0.024,NA,NA,NA
SHASTA COUNTY,CA,White,37472,0.309,0.028,NA,0.024,NA,NA,NA
SIERRA COUNTY,CA,Black,1209,201.5,0.027,NA,0.017,NA,NA,NA
SIERRA COUNTY,CA,Hispanic,3535,16.005,0.031,NA,0.02,NA,NA,NA
SIERRA COUNTY,CA,White,19896,8.678,0.019,NA,0.018,NA,NA,NA
SOLANO COUNTY,CA,Black,11714,0.243,0.048,NA,0.024,NA,NA,NA
SOLANO COUNTY,CA,Hispanic,16960,0.227,0.036,NA,0.017,NA,NA,NA
SOLANO COUNTY,CA,White,35976,0.247,0.018,NA,0.012,NA,NA,NA
SONOMA COUNTY,CA,Black,1910,0.322,0.056,NA,0.034,NA,NA,NA
SONOMA COUNTY,CA,Hispanic,10906,0.123,0.078,NA,0.046,NA,NA,NA
SONOMA COUNTY,CA,White,38897,0.139,0.032,NA,0.025,NA,NA,NA
STANISLAUS COUNTY,CA,Black,2117,0.206,0.056,NA,0.045,NA,NA,NA
STANISLAUS COUNTY,CA,Hispanic,16492,0.106,0.08,NA,0.055,NA,NA,NA
STANISLAUS COUNTY,CA,White,19479,0.099,0.039,NA,0.033,NA,NA,NA
SUTTER COUNTY,CA,Black,1259,0.864,0.043,NA,0.026,NA,NA,NA
SUTTER COUNTY,CA,Hispanic,4440,0.235,0.053,NA,0.035,NA,NA,NA
SUTTER COUNTY,CA,White,15471,0.407,0.031,NA,0.025,NA,NA,NA
TEHAMA COUNTY,CA,Black,1239,3.884,0.013,NA,0.007,NA,NA,NA
TEHAMA COUNTY,CA,Hispanic,7106,0.729,0.02,NA,0.012,NA,NA,NA
TEHAMA COUNTY,CA,White,19041,0.516,0.019,NA,0.016,NA,NA,NA
TRINITY COUNTY,CA,Black,87,1.706,0.166,NA,0.092,NA,NA,NA
TRINITY COUNTY,CA,Hispanic,211,0.299,0.085,NA,0.056,NA,NA,NA
TRINITY COUNTY,CA,White,5936,0.617,0.041,NA,0.033,NA,NA,NA
TULARE COUNTY,CA,Black,1458,0.335,0.05,NA,0.036,NA,NA,NA
TULARE COUNTY,CA,Hispanic,35011,0.187,0.085,NA,0.053,NA,NA,NA
TULARE COUNTY,CA,White,19505,0.169,0.032,NA,0.027,NA,NA,NA
TUOLUMNE COUNTY,CA,Black,186,0.184,0.044,NA,0.024,NA,NA,NA
TUOLUMNE COUNTY,CA,Hispanic,1540,0.326,0.051,NA,0.039,NA,NA,NA
TUOLUMNE COUNTY,CA,White,12987,0.34,0.043,NA,0.035,NA,NA,NA
YOLO COUNTY,CA,Black,1767,0.441,0.042,NA,0.024,NA,NA,NA
YOLO COUNTY,CA,Hispanic,4270,0.093,0.056,NA,0.035,NA,NA,NA
YOLO COUNTY,CA,White,11265,0.132,0.021,NA,0.015,NA,NA,NA
ADAMS COUNTY,CO,Black,791,0.077,0.005,0.002,0.057,0.632,0.722,0.449
ADAMS COUNTY,CO,Hispanic,5913,0.048,0.003,0.001,0.071,0.577,0.522,0.444
ADAMS COUNTY,CO,White,13800,0.069,0.003,0.001,0.032,0.65,0.703,0.549
ALAMOSA COUNTY,CO,Black,80,0.506,0.017,0.01,0.093,0.358,0.0,0.311
ALAMOSA COUNTY,CO,Hispanic,1598,0.296,0.009,0.003,0.058,0.28,0.589,0.338
ALAMOSA COUNTY,CO,White,2951,0.447,0.004,0.001,0.034,0.308,0.444,0.502
ARAPAHOE COUNTY,CO,Black,1481,0.032,0.005,0.001,0.067,0.579,0.425,0.386
ARAPAHOE COUNTY,CO,Hispanic,1610,0.021,0.004,0.002,0.075,0.616,0.324,0.362
ARAPAHOE COUNTY,CO,White,8631,0.027,0.003,0.001,0.035,0.685,0.632,0.493
ARCHULETA COUNTY,CO,Black,25,0.758,0.0,0.0,0.014,0.438,NA,NA
ARCHULETA COUNTY,CO,Hispanic,354,0.219,0.005,0.003,0.023,0.392,0.333,0.35
ARCHULETA COUNTY,CO,White,3670,0.449,0.002,0.001,0.008,0.428,0.7,0.557
BACA COUNTY,CO,Black,79,4.158,0.003,0.003,0.027,0.568,0.0,0.399
