country,life_exp,inf_mort,internet
Afghanistan,49.72,121.63,4
Albania,77.59,14.12,45
Algeria,74.73,24.9,12.5
American Samoa,74.44,9.42,
Andorra,82.5,3.76,81
Angola,54.59,83.53,10
Anguilla,80.98,3.44,0
Antigua and Barbuda,75.69,14.17,80
Argentina,77.14,10.52,36
Armenia,73.49,18.21,44
Aruba,75.93,12.51,42
Australia,81.9,4.55,76
Austria,79.91,4.26,72.7
Azerbaijan,71.32,28.76,46
"Bahamas, The",71.44,13.09,43
Bahrain,78.29,10.2,55
Bangladesh,70.06,48.99,3.7
Barbados,74.52,11.63,70.2
Belarus,71.48,6.16,31.7
Belgium,79.65,4.28,75
Belize,68.28,21.37,14
Benin,60.26,60.03,3.13
Bermuda,80.82,2.47,84.21
Bhutan,67.88,42.17,13.6
Bolivia,67.9,40.94,20
Bosnia and Herzegovina,78.96,8.47,52
Botswana,55.74,10.49,6
Brazil,72.79,20.5,40.65
British Virgin Islands,77.95,14.43,39
Brunei,76.37,11.15,50
Bulgaria,73.84,16.13,46.23
Burkina Faso,54.07,79.84,1.4
Burma,65.24,47.74,0
Burundi,59.24,60.32,2.1
Cambodia,63.04,54.08,1.26
Cameroon,54.71,59.7,4
Canada,81.48,4.85,81.6
Cape Verde,71,26.02,30
Cayman Islands,80.8,6.49,66
Central African Republic,50.48,97.17,2.3
Chad,48.69,93.61,1.7
Chile,78.1,7.36,45
China,74.84,15.62,34.3
Colombia,74.79,15.92,36.5
Comoros,62.74,68.97,5.1
"Congo, Democratic Republic of the",55.74,76.63,0.72
"Congo, Republic of the",55.27,74.22,5
Cook Islands,74.92,15.3,35.71
Costa Rica,77.89,9.2,36.5
Croatia,75.99,6.06,60.32
Cuba,77.87,4.83,15.9
Cyprus,78,9.05,52.99
Czech Republic,77.38,3.7,68.82
Denmark,78.78,4.19,88.72
Djibouti,61.57,53.31,6.5
Dominica,76.18,12.38,47.45
Dominican Republic,77.44,21.3,39.53
Ecuador,75.94,19.06,29
Egypt,72.93,24.23,26.74
El Salvador,73.69,19.66,15.9
Equatorial Guinea,62.75,75.18,6
Eritrea,62.86,40.34,5.4
Estonia,73.58,6.94,74.1
Ethiopia,56.56,75.29,0.75
European Union,79.76,4.49,
Faroe Islands,79.85,5.94,75.2
Fiji,71.59,10.73,14.82
Finland,79.41,3.4,86.89
France,81.46,3.37,80.1
French Polynesia,76.39,4.88,49
Gabon,52.29,49,7.23
"Gambia, The",63.82,69.58,9.2
