Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/3/11,37-063-0015,1,5.9,ug/m3 LC,19,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/6/11,37-063-0015,1,10.4,ug/m3 LC,34,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/9/11,37-063-0015,1,5.6,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/10/11,37-063-0015,1,6.2,ug/m3 LC,20,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/18/11,37-063-0015,1,9.4,ug/m3 LC,31,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/21/11,37-063-0015,1,5,ug/m3 LC,16,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/24/11,37-063-0015,1,11.5,ug/m3 LC,37,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/27/11,37-063-0015,1,9.8,ug/m3 LC,32,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
1/30/11,37-063-0015,1,12.5,ug/m3 LC,41,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/2/11,37-063-0015,1,5.5,ug/m3 LC,18,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/5/11,37-063-0015,1,5.3,ug/m3 LC,17,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/8/11,37-063-0015,1,5,ug/m3 LC,16,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
2/11/11,37-063-0015,1,11.3,ug/m3 LC,37,1,100,88101,PM2.5 - Local Conditions,450,"Raleigh-Durham-Cary, NC",20500,"Durham, NC",37,North Carolina,63,Durham,36.032944,-78.905417
