year,visitor_count_tho,tourist_spending
1963,198,7
1964,229,8
1965,361,13
1966,449,12
1967,574,13
1968,602,24
1969,694,36
1970,724,51
1971,926,62
1972,1034,103
1973,1341,171
1974,1110,193
1975,1540,200
1976,1675,180
1977,1661,204
1978,1644,230
1979,1523,280
1980,1288,326
1981,1405,381
1982,1391,370
1983,1625,411
1984,2117,840
1985,2614,1482
1986,2391,1215
1987,2855,1721
1988,4172,2355
1989,4459,2556
1990,5389,2705
1991,5517,2654
1992,7076,3639
1993,6500,3959
1994,6670,4321
1995,7726,4957
1996,8614,5650
1997,9689,7008
1998,9752,7177
1999,7464,5193
2000,10412,7636
2001,11569,8090
2002,13247,8481
2003,14030,9677
2004,17517,12125
2005,21124,13929
2006,19820,12554
2007,23341,13990
2008,26337,16761
2009,27077,15853
