state,total_housing_units_2000,total_housing_units_2010,pct_vacant,occupied,pct_owner_occupied,pop_st,area_st,pop_urban,poppct_urban,area_urban,areapct_urban,popden_urban,pop_ua,poppct_urban,area_ua,areapct_ua,popden_ua,pop_uc,poppct_uc,area_uc,areapct_uc,popden_uc,pop_rural,poppct_rural,area_rural,areapct_rural,popden_rural
Alabama,"1,963,711","2,171,853",13.3,"1,883,791",69.7,4779736,1.31171E+11,2821804,59.04,5716365701,4.36,1278.5,2325304,48.65,4415733067,3.37,1363.9,496500,10.39,1300632634,0.99,988.7,1957932,40.96,1.25454E+11,95.64,40.4
Alaska,"260,978","306,967",15.9,"258,058",63.1,710231,1.47795E+12,468893,66.02,673703920,0.05,1802.6,315756,44.46,362866427,0.02,2253.7,153137,21.56,310837493,0.02,1276,241338,33.98,1.47728E+12,99.95,0.4
Arizona,"2,189,189","2,844,526",16.3,"2,380,990",66,6392017,2.94207E+11,5740659,89.81,5663221936,1.92,2625.4,5117783,80.07,4696616836,1.6,2822.2,622876,9.74,966605100,0.33,1669,651358,10.19,2.88544E+11,98.08,5.8
Arkansas,"1,173,043","1,316,299",12.9,"1,147,084",67,2915918,1.34771E+11,1637589,56.16,2841198188,2.11,1492.8,1152837,39.54,1881196989,1.4,1587.2,484752,16.62,960001199,0.71,1307.8,1278329,43.84,1.3193E+11,97.89,25.1
California,"12,214,549","13,680,081",8.1,"12,577,498",55.9,37253956,4.03466E+11,35373606,94.95,21287926350,5.28,4303.7,33427689,89.73,18915178185,4.69,4577.1,1945917,5.22,2372748165,0.59,2124.1,1880350,5.05,3.82178E+11,94.72,12.7
Colorado,"1,808,037","2,212,898",10.8,"1,972,868",65.5,5029196,2.68431E+11,4332761,86.15,3956737225,1.47,2836.1,3865471,76.86,3258048896,1.21,3072.9,467290,9.29,698688329,0.26,1732.2,696435,13.85,2.64475E+11,98.53,6.8
Connecticut,"1,385,975","1,487,891",7.9,"1,371,087",67.5,3574097,12541641427,3144942,87.99,4730500209,37.72,1721.9,3031980,84.83,4500564038,35.88,1744.8,112962,3.16,229936171,1.83,1272.4,429155,12.01,7811141218,62.28,142.3
Delaware,"343,072","405,885",15.7,"342,297",72.1,897934,5046703785,747949,83.3,1053792304,20.88,1838.3,616982,68.71,740579379,14.67,2157.7,130967,14.59,313212925,6.21,1083,149985,16.7,3992911481,79.12,97.3
District of Columbia,"274,845","296,719",10.1,"266,707",42,601723,158114680,601723,100,158114680,100,9856.5,601723,100,158114680,100,9856.5,0,0,0,0,,0,0,0,0,
Florida,"7,302,947","8,989,580",17.5,"7,420,802",67.4,18801310,1.38887E+11,17139844,91.16,19173902265,13.81,2315.2,16439936,87.44,17700464722,12.74,2405.5,699908,3.72,1473437543,1.06,1230.3,1661466,8.84,1.19714E+11,86.19,35.9
