gpa,studyweek,sleepnight,out,gender
3.89,50,6,3,female
3.9,15,6,1,female
3.75,15,7,1,female
3.6,10,6,4,male
4,25,7,3,female
3.15,20,7,3,male
3.25,15,6,1,female
3.925,10,8,3,female
3.428,12,8,2,female
3.8,2,8,4,male
3.9,10,8,1,female
2.9,30,6,2,female
3.925,30,7,2,female
3.65,21,9,3,female
3.75,10,8.5,3.5,female
4.67,14,6.5,3,male
3.1,12,7.5,3.5,male
3.8,12,8,1,female
3.4,4,9,3,female
3.575,45,6.5,1.5,female
3.85,6,7,2.5,female
3.4,10,7,3,female
3.5,12,8,2,male
3.6,13,6,3.5,female
3.825,35,8,4,female
3.925,10,8,3,female
4,40,8,3,female
3.425,14,9,3,female
3.75,30,6,0,female
3.15,8,6,0,female
3.4,8,6.5,2,female
3.7,20,7,1,female
3.36,40,7,1,female
3.7,15,7,1.5,male
3.7,25,5,1,female
3.6,10,7,2,female
3.825,18,7,1.5,female
3.2,15,6,1,female
3.5,30,8,3,male
3.5,11,7,1.5,female
3,28,6,1.5,female
3.98,4,7,1.5,female
3.7,4,5,1,male
3.81,25,7.5,2.5,female
4,42,5,1,female
3.1,3,7,2,male
3.4,42,9,2,male
3.5,25,8,2,male
3.65,20,6,2,female
3.7,7,8,2,female
3.1,6,8,1,female
4,20,7,3,female
3.35,45,6,2,female
3.541,30,7.5,1.5,female
2.9,20,6,3,female
